,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022200007,23,1627936,Alex Caruso,1610612741,Chicago Bulls,1,9,40,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,152,9,1,1,20221019,MIA,CHI
1,Shot Chart Detail,0022200007,51,1627936,Alex Caruso,1610612741,Chicago Bulls,1,7,54,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,239,50,1,0,20221019,MIA,CHI
2,Shot Chart Detail,0022200007,184,1627936,Alex Caruso,1610612741,Chicago Bulls,2,10,54,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,239,53,1,0,20221019,MIA,CHI
3,Shot Chart Detail,0022200007,291,1627936,Alex Caruso,1610612741,Chicago Bulls,2,3,37,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,229,74,1,0,20221019,MIA,CHI
4,Shot Chart Detail,0022200007,309,1627936,Alex Caruso,1610612741,Chicago Bulls,2,2,22,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-132,224,1,1,20221019,MIA,CHI
5,Shot Chart Detail,0022200007,519,1627936,Alex Caruso,1610612741,Chicago Bulls,4,11,25,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,137,222,1,0,20221019,MIA,CHI
6,Shot Chart Detail,0022200007,556,1627936,Alex Caruso,1610612741,Chicago Bulls,4,8,48,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-75,159,1,0,20221019,MIA,CHI
7,Shot Chart Detail,0022200007,667,1627936,Alex Caruso,1610612741,Chicago Bulls,4,2,38,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,48,33,1,0,20221019,MIA,CHI
8,Shot Chart Detail,0022200007,670,1627936,Alex Caruso,1610612741,Chicago Bulls,4,2,33,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,148,13,1,0,20221019,MIA,CHI
9,Shot Chart Detail,0022200007,690,1627936,Alex Caruso,1610612741,Chicago Bulls,4,1,7,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,229,-1,1,0,20221019,MIA,CHI
10,Shot Chart Detail,0022200019,23,1627936,Alex Caruso,1610612741,Chicago Bulls,1,9,23,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,240,113,1,0,20221021,WAS,CHI
11,Shot Chart Detail,0022200019,210,1627936,Alex Caruso,1610612741,Chicago Bulls,2,7,4,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,13,146,1,1,20221021,WAS,CHI
12,Shot Chart Detail,0022200019,370,1627936,Alex Caruso,1610612741,Chicago Bulls,3,6,7,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,223,100,1,0,20221021,WAS,CHI
